Date       | Ranbyus DGA        | Mirai Base   | Mirai DGA
2017-03-31 | fdxvowjmsudury.pw  | fdxvowjmsudu | fdxvowjmsudu.online
2017-04-01 | mjftuqibhuchte.me  | mjftuqibhuch | mjftuqibhuch.tech
2017-04-02 | kokashdrvurmhm.cc  | kokashdrvurm | kokashdrvurm.tech
2017-04-03 | itlywhmraymrcx.su  | itlywhmraymr | -
2017-04-04 | jrmoqvpeahxheq.tw  | jrmoqvpeahxh | jrmoqvpeahxh.tech
2017-04-05 | euviovpeqqsufw.net | euviovpeqqsu | euviovpeqqsu.support
2017-04-06 | fcskmegoqeafka.com | fcskmegoqeaf | -
2017-04-07 | afcbnijsituqca.pw  | afcbnijsituq | -
2017-04-08 | efuwlkmirpiexo.in  | efuwlkmirpie | efuwlkmirpie.online
2017-04-09 | ckwvxnmlflyill.me  | ckwvxnmlflyi | ckwvxnmlflyi.support
2017-04-10 | tlpaipfvdgiuwv.cc  | tlpaipfvdgiu | -
2017-04-11 | rqrwffkjpanpfi.su  | rqrwffkjpanp | -
2017-04-12 | ysdvcheynullpk.tw  | ysdvcheynull | -
2017-04-13 | tvncpnoofryndi.net | tvncpnoofryn | -
2017-04-14 | oyxgiyuwkfygro.com | oyxgiyuwkfyg | oyxgiyuwkfyg.support
2017-04-15 | jcenlbpvyycwqs.pw  | jcenlbpvyycw | -
2017-04-16 | tokdvaanusthpc.in  | tokdvaanusth | -
2017-04-17 | rlddpowajosqtj.me  | rlddpowajosq | -
2017-04-18 | pyowgxubiuvpkj.cc  | pyowgxubiuvp | -
2017-04-19 | nvlnhjkkletbxw.su  | nvlnhjkkletb | nvlnhjkkletb.support
2017-04-20 | ctvtsrcnvyvqaq.tw  | ctvtsrcnvyvq | ctvtsrcnvyvq.tech
2017-04-21 | wowldwtcpowbef.net | wowldwtcpowb | wowldwtcpowb.tech
2017-04-22 | xeeitoihavkwdb.com | xeeitoihavkw | xeeitoihavkw.support
2017-04-23 | sybldxmbsompkc.pw  | sybldxmbsomp | -
2017-04-24 | jpbrnmonoegghy.in  | jpbrnmonoegg | jpbrnmonoegg.online
2017-04-25 | hmwpencxavsiwu.me  | hmwpencxavsi | hmwpencxavsi.support
2017-04-26 | yvtsegxerfuomv.cc  | yvtsegxerfuo | -
2017-04-27 | wspasbmeilxhjs.su  | wspasbmeilxh | wspasbmeilxh.support
2017-04-28 | rumwmwiaplitsv.tw  | rumwmwiaplit | -
2017-04-29 | mpmfqdmkvveowf.net | mpmfqdmkvveo | mpmfqdmkvveo.support
2017-04-30 | hbjmvkqtdwelvg.com | hbjmvkqtdwel | -
2017-05-01 | mjftuqibhuchte.me  | mjftuqibhuch | mjftuqibhuch.tech
2017-05-02 | kokashdrvurmhm.cc  | kokashdrvurm | kokashdrvurm.tech
2017-05-03 | itlywhmraymrcx.su  | itlywhmraymr | -
2017-05-04 | jrmoqvpeahxheq.tw  | jrmoqvpeahxh | jrmoqvpeahxh.tech
2017-05-05 | euviovpeqqsufw.net | euviovpeqqsu | euviovpeqqsu.support
2017-05-06 | fcskmegoqeafka.com | fcskmegoqeaf | -
2017-05-07 | afcbnijsituqca.pw  | afcbnijsituq | -
2017-05-08 | efuwlkmirpiexo.in  | efuwlkmirpie | efuwlkmirpie.online
2017-05-09 | ckwvxnmlflyill.me  | ckwvxnmlflyi | ckwvxnmlflyi.support
2017-05-10 | tlpaipfvdgiuwv.cc  | tlpaipfvdgiu | -
2017-05-11 | rqrwffkjpanpfi.su  | rqrwffkjpanp | -
2017-05-12 | ysdvcheynullpk.tw  | ysdvcheynull | -
